pid,sentence1,sentence2
33464,Mobile Data Offload,How is Wi-Fi better than my Mobile Data connection
19554,What is Survival benefits?,survival benefit of WAAC
73266,I need a call to remind me to drink water,Will you remind me to drink water?
44567,i want ticket from mumbai to pune,14 th feb morning flight to goa 7 adults 2 kids
14977,What features does my life has,What are the important features of My Life
23592,my One time password is not working,doesnt work
12411,set reminder appointment,set a reminder
56956,Gift Card cashback,I haven't received my gift card
10840,show motivational quotes,Give me a motivation
18972,I would like to change my  exercise reminder,set reminder exercise
4194,Hotel Safety tips,home safety tips
53292,Order ID is correct,I've already given the correct ID
4507,This order ID is right,I can't find my order ID
11602,I want to play quiz,What is the time for playing the quiz
52659,No information Desk,where is the info desk for assistance
25613,i want discount on flight tickets,Tutorial for flights discounts
4603,I can't find my order ID.,The order ID is right
51283,help me to change the company name.,I want to change person.
6891,It is taking long time,report is pending from long time
40951,All reminder cancel,show my all reminder
39625,Yes ols proceed with offer code which you have,How can I apply coupon code in flights?
47469,I want to add a new reminder,Hey can you help me add a new To-do . .
5345,Fare is too high,Your Prices too high
41637,Can you tell me where is my order ID?,Tell me where to find my order ID
36764,How to get the app,how to get otp
14302,provide me Flight Tickets,Is there any reminder for flights ticket
29215,I want to check the live status of a train,i want to check in
28284,modification Drink Water,Will you remind me to drink water?
877,i want discount on flight tickets,what are offers on flight booking
32573,My cashback havent credited yet,Cash back not credited
39701,I want a joke,Need jokes everyday
53171,17kg,Delivery charges 2 Kg
63026,That was a valid order ID,My order ID is right
21694,I want to get back my amount,Where is my cash back
13358,Airfare is included all the time?,What all is included in a Group Tour?
33696,Do you charge to open an account?,Are the DP charges to be paid on a monthly basis?
33340,I want discounts on flights,Some awesome cashback offers on flights.
33134,How much will your charge for closing the account?,structure of your charges
31649,suggest Flight Tickets,Can you check flight ticket availabilty
45469,make me remember appointment,make me remember
38904,I want help from real humans and Not AI,I need a help from a real human
4485,I want to book flight,I want to book flight tickets.
37312,Number is right,I gave you the right number
65961,what is your name?,what is your work culture
3657,I would like to submit my answers for the Predict & Win quiz,What is my final score for the predict & win quiz
46308,please send your pics,Send your Number...
66507,The login page is not opening,how to see login page
25738,i want ticket from mumbai to pune,I need a ticket
7615,cancel reminders,I want to delete my reminder
6170,I want to learn a new word daily to improve my English language,Show me a new word daily
44983,I need to book a flight,I want to book bus tickets for Diwali
12060,I want discounts on flights,Tutorial for flights coupon code
65482,I can't find my order ID,Where can I find my order status?
44665,got the OTP,not getting One time password
33487,Any offers for bsnl,I recharged my mobile using phonepe and I cant find any cashback
24418,Railway pnr status,Check flight pnr status
57361,I would like to cancel my,I need to cancel my daily reminders
37493,auto connect plan,what is auto connect
40155,want reminder for anniversary,want reminder for
31400,Procedure to change address,address change
7867,i want offer on flight tickets,suggest Flight Tickets
12731,Any Offers on Movie Ticket,Any Discount on Movies
19975,remaind me about anniversary,remaind me about
63219,My Electricity Bill Payments provider is not listed with you,My Electricity Bill Payments provider is not there
40065,Do u have any promocode,Any cashback on train booking
31194,Not an indian resident,non resident indian
64550,I want to report an issue,I want to raise a complaint
7801,i want offer on flight tickets,Is there student concession flights
5857,how to verify account,how much time u want to verify
68981,suggest me Flight Tickets,Send me flight timings from Mumbai to Delhi
14589,"In case I have lost all the documents ( SV ) , how can I surrender the connection and get back my refundable deposit ?",Process for connection surrender
2888,What is Final score,What is my final quiz score?
47543,Not helpful when I needed to change my ticket,Not accomodating when I needed to cancel my ticket
38791,offer,Cashback is not received
34315,remind me to,remind me to wake up.
35334,Any coupon available?,Amazon offer available?
30075,Provide another Health benefit,Show Health benefit
55026,It was troublesome to change my booking,Took too long to change my ticket
11442,Hope report will get ready,I haven't got my reports
47836,mumbai to pune,Book a flight from Mumbai to Delhi
3839,That was the correct order ID,Please help me find my order ID
20873,Key features please,Tell me the key features of WAAC
35677,I m getting better price at ixigo in 3053 rupees,I'm getting a better price on paytm
1951,What's your job?,what is your age
23450,I had a hard time making my payment,Making my payment was easy
7787,How can I get my Lab ID no,Check for another lab ID
41937,"I checked, the order ID given is correct",Can you tell me where is my order ID?
1885,change my address,Procedure to change address
11714,mutton shop near,Share wine shop near me
47178,Any offer,any discount on lunch?
59880,How much discount the coupon code has,Are there any discount or cashback offers
57250,colors marathi,all shows for colors marathi
5939,Trade Listings,reports for trade listing
48732,Any cashback on flights,Please tell me best domestic flight offer
6561,i need some time to book it,to buy Flight Tickets
44255,I would like to cancel my Reminder,cancel
59037,What is the payment method?,What will be the Payment term?
54516,"Got Connected, thanks",Still it is not getting connected
67771,what more can you tell me about workshops,tell me about events and workshops
3961,How do I order new supply?,Shall i order new connection digitally
6493,remove this flight alert,cancel flight fare alert
23997,Saral Nivesh,What will be the Survival Benefits of saral nivesh
25184,I found a cheaper fare somewhere else,What if I find cheaper tickets elsewhere
21820,Voucher Transfer,Process to transfer the vouchers of academies
20731,I found a cheaper fare somewhere else,found cheaper fare
5950,any offer on mobikwik,Is there any cashback
73572,72 hours still not got cashback,havent got refund
35479,Can you share the Survival benefits?,survival benefit of saral nivesh
6623,I want to play the daily quiz,I want to play quiz
3885,apply online for home loan,can I apply online
65570,need flights from mumbai to pune,looking for Flight Tickets
23101,Indian,I am a indian resident
73165,"Hey, can you set a reminder for me to wish anniversary?  . .",set a reminder
44230,remiand me about drink water,remiand me about
67196,Where is my cash back ?,cash back issue
60961,I want to change my  reminder,sorry change this reminder
